firearms,Population,Crude Rate,Age-Adjusted Rate,Deaths
163398,4874747,86.55,84.9325194825688,4219
17572,739795,101.24,106.048638860716,749
185776,7016270,87.34,83.2485225342838,6128
84045,3004279,87.28,85.2791703074926,2622
358223,39536653,51.87,49.3333476413108,20508
100162,5607154,81.06,79.6335599561415,4545
68297,3588184,73.21,67.5364375213407,2627
4984,961939,83.37,82.4808149214526,802
52610,693972,88.91,86.2206713037671,617
377207,20984400,84.54,77.1187701130178,17741
203396,10429379,67.91,67.7057618987379,7083
8018,1427538,61.78,55.5268261576836,882
52527,1716943,78.57,78.0621450072563,1349
144428,12802023,68.47,65.672912597609,8765
119770,6666818,85.62,84.8184942862945,5708
31587,3145711,68.73,62.7334719220962,2162
57028,2913123,80.39,75.9003270657054,2342
85763,4454189,99.82,99.6486007681093,4446
117356,4684333,91.15,90.8826270271773,4270
17121,1335907,98.29,90.56796942713,1313
115463,6052177,86.28,82.5605817611916,5222
40030,6859819,68.94,64.1085689083894,4729
71678,9962311,80.9,77.2025059805326,8060
87019,5576606,67.71,62.0612170206599,3776
39331,2984100,87.13,85.8359631907846,2600
78660,6113532,92.73,89.5791863355713,5669
20326,1050493,91,85.9924046691298,956
25092,1920076,60.15,56.7871137842788,1155
87148,2998039,80.62,77.9036910274195,2417
59140,1342795,90.11,84.2878549809461,1210
59629,9005644,63.37,60.3221267812349,5707
101182,2088070,104.59,102.877920642524,2184
78141,19849399,51.93,48.0054967208194,10307
165170,10273419,80.85,78.4949640807767,8306
15440,755393,68.97,65.5800938443948,521
173315,11658609,100.36,99.1152835438648,11701
74615,3930864,94.41,92.0090031520433,3711
66346,4142776,74.8,68.3875600860251,3099
261765,12805537,98.16,93.2700337187562,12570
4535,1059639,83.14,75.3300924241069,881
101116,5024369,89.07,86.7001457331858,4475
22847,869666,88.88,84.111533462308,773
107634,6715984,93.91,90.8912612578276,6307
637612,28304596,58.24,58.9240458749905,16485
83962,3101833,67.28,73.1769713373321,2087
6623,623657,84.98,78.9719101561009,530
328010,8470020,66.53,63.4929507207334,5635
101534,7405743,69.51,66.124657162467,5148
37839,1815857,134.92,131.092230472578,2450
73250,5795483,85.57,78.7518133238434,4959
128083,579315,91.66,88.1309503202863,531
NA,325719178,74.62,.,243039
